Bias,Data Trace Real_A,Data Trace Real_B
3.80000e+00,3.158816e-09,1.463553e-03
3.83800e+00,3.027024e-09,1.438981e-03
3.87500e+00,2.719273e-09,1.439154e-03
3.91300e+00,2.694729e-09,1.436671e-03
3.95000e+00,2.437902e-09,1.445093e-03
3.98800e+00,2.220407e-09,1.443108e-03
4.02500e+00,2.070211e-09,1.440428e-03
4.06300e+00,1.863691e-09,1.455839e-03
4.10000e+00,1.641233e-09,1.453652e-03
4.13800e+00,1.458047e-09,1.452681e-03
4.17500e+00,1.297185e-09,1.469472e-03
4.21300e+00,1.417250e-09,1.486140e-03
4.25000e+00,1.221645e-09,1.480151e-03
4.28800e+00,7.101179e-10,1.499306e-03
4.32500e+00,7.335071e-10,1.491068e-03
4.36300e+00,3.930349e-10,1.519628e-03
4.40000e+00,4.757785e-10,1.515073e-03
4.43800e+00,4.827997e-10,1.546395e-03
4.47500e+00,-1.428535e-10,1.553329e-03
4.51300e+00,5.000594e-11,1.584125e-03
4.55000e+00,-3.447494e-10,1.574233e-03
4.58800e+00,-3.377608e-10,1.578078e-03
4.62500e+00,-7.429330e-10,1.593407e-03
4.66300e+00,-7.036722e-10,1.608301e-03
4.70000e+00,-8.503577e-10,1.607441e-03
4.73800e+00,-1.080511e-09,1.642168e-03
4.77500e+00,-7.988600e-10,1.616021e-03
4.81300e+00,-1.066019e-09,1.648215e-03
4.85000e+00,-1.274519e-09,1.711176e-03
4.88800e+00,-1.548826e-09,1.680187e-03
4.92500e+00,-1.806408e-09,1.715273e-03
4.96300e+00,-1.665368e-09,1.706262e-03
5.00000e+00,-1.698749e-09,1.725029e-03
