Bias,Capacity_1K,Conductivity_1K,Capacity_10K,Conductivity_10K,Capacity_100K,Conductivity_100K,Capacity_1M,Conductivity_1M
-1.44000e+00,5.025291e-10,-1.451398e-07,5.202072e-10,4.362164e-08,5.137460e-10,2.241096e-06,5.875357e-10,1.302334e-04
-1.42500e+00,5.517763e-10,6.469309e-08,5.192213e-10,1.032491e-07,5.159127e-10,1.948322e-06,5.887781e-10,1.241156e-04
-1.41000e+00,4.950348e-10,5.972307e-08,5.240763e-10,7.954209e-09,5.165931e-10,2.352306e-06,5.898857e-10,1.277285e-04
-1.39500e+00,5.679101e-10,-2.296601e-08,5.183974e-10,-2.462432e-07,5.177099e-10,2.051072e-06,5.916123e-10,1.274694e-04
-1.38000e+00,5.246865e-10,1.910335e-07,5.219570e-10,-6.357081e-08,5.180323e-10,2.147298e-06,5.930612e-10,1.297844e-04
-1.36500e+00,5.688829e-10,5.446909e-08,5.207872e-10,-1.303332e-08,5.200181e-10,2.351076e-06,5.952822e-10,1.296911e-04
-1.35000e+00,4.992897e-10,-9.832304e-08,5.207397e-10,5.827641e-07,5.207173e-10,1.839674e-06,5.961798e-10,1.375919e-04
-1.33500e+00,4.973379e-10,-2.459785e-08,5.257363e-10,6.514474e-08,5.216791e-10,1.429251e-06,5.976802e-10,1.268537e-04
-1.32000e+00,5.308691e-10,1.119480e-07,5.267290e-10,2.002012e-07,5.240275e-10,1.618996e-06,5.993916e-10,1.321789e-04
-1.30500e+00,5.171484e-10,1.249260e-07,5.240486e-10,-2.027826e-07,5.251193e-10,2.421773e-06,6.017862e-10,1.271640e-04
-1.29000e+00,5.896890e-10,-1.010951e-08,5.248730e-10,-3.526487e-08,5.264594e-10,1.980303e-06,6.021962e-10,1.333437e-04
-1.27500e+00,5.393274e-10,-1.888399e-07,5.285050e-10,-1.097248e-07,5.268424e-10,1.823240e-06,6.044296e-10,1.388510e-04
-1.26000e+00,5.089684e-10,3.948883e-07,5.313763e-10,2.504862e-07,5.291971e-10,2.059730e-06,6.059402e-10,1.389837e-04
-1.24500e+00,5.265812e-10,-2.655053e-07,5.387925e-10,1.639705e-07,5.297168e-10,2.384801e-06,6.071954e-10,1.370216e-04
-1.23000e+00,5.314531e-10,2.023950e-07,5.302642e-10,3.431658e-08,5.300686e-10,1.721072e-06,6.094033e-10,1.324387e-04
-1.21500e+00,5.224424e-10,-1.161012e-07,5.338979e-10,5.001986e-07,5.329535e-10,2.356959e-06,6.104263e-10,1.328123e-04
-1.20000e+00,5.507492e-10,-3.698199e-08,5.349702e-10,4.038307e-07,5.340662e-10,1.908778e-06,6.131762e-10,1.335069e-04
-1.18500e+00,5.218752e-10,1.438877e-07,5.336101e-10,-1.004507e-07,5.353903e-10,2.334768e-06,6.143155e-10,1.348657e-04
-1.17000e+00,5.368052e-10,-2.366856e-07,5.359069e-10,1.980402e-07,5.366702e-10,1.815747e-06,6.158872e-10,1.355382e-04
-1.15500e+00,4.998274e-10,-3.457605e-07,5.441717e-10,-1.512378e-07,5.377645e-10,2.022497e-06,6.177945e-10,1.377461e-04
-1.14000e+00,5.613806e-10,-9.355179e-08,5.394717e-10,3.281570e-07,5.384609e-10,1.746401e-06,6.185173e-10,1.432401e-04
-1.12500e+00,5.146246e-10,-1.005528e-07,5.394810e-10,6.116955e-08,5.408921e-10,2.108524e-06,6.208073e-10,1.438004e-04
-1.11000e+00,5.165482e-10,2.180267e-07,5.345279e-10,3.201946e-07,5.418070e-10,2.327687e-06,6.221084e-10,1.414999e-04
-1.09500e+00,5.469214e-10,1.522680e-07,5.434156e-10,-4.794275e-07,5.421137e-10,2.588781e-06,6.244003e-10,1.427553e-04
-1.08000e+00,5.860985e-10,-6.138718e-08,5.473571e-10,-2.919501e-07,5.455358e-10,2.499646e-06,6.256089e-10,1.448285e-04
-1.06500e+00,5.356814e-10,-1.734939e-07,5.423587e-10,1.592001e-07,5.460984e-10,2.089761e-06,6.274267e-10,1.465292e-04
-1.05000e+00,5.139531e-10,-1.208400e-08,5.513324e-10,1.527567e-07,5.469016e-10,2.251378e-06,6.289417e-10,1.478633e-04
-1.03500e+00,5.588203e-10,3.659239e-07,5.476962e-10,-7.898257e-08,5.485095e-10,2.332473e-06,6.320297e-10,1.438779e-04
-1.02000e+00,5.916551e-10,-2.474197e-07,5.508248e-10,4.918706e-08,5.496377e-10,1.882018e-06,6.334676e-10,1.463806e-04
-1.00500e+00,5.191270e-10,-7.408141e-08,5.585815e-10,-1.220531e-07,5.521131e-10,2.209063e-06,6.357386e-10,1.470373e-04
-9.90000e-01,5.480649e-10,-3.319572e-07,5.550517e-10,5.728985e-08,5.532925e-10,2.527801e-06,6.363699e-10,1.512004e-04
-9.75000e-01,5.758056e-10,-1.364578e-07,5.563142e-10,3.159244e-07,5.551200e-10,2.284443e-06,6.386609e-10,1.556717e-04
-9.60000e-01,5.346725e-10,-2.292109e-08,5.582431e-10,-1.569435e-07,5.563022e-10,2.198524e-06,6.408857e-10,1.481084e-04
-9.45000e-01,5.368619e-10,3.329760e-08,5.567317e-10,-2.195440e-07,5.572854e-10,1.643064e-06,6.428998e-10,1.458841e-04
