Bias,Capacity_1K,Conductivity_1K,Capacity_10K,Conductivity_10K,Capacity_100K,Conductivity_100K,Capacity_1M,Conductivity_1M
-1.40000e+00,5.454502e-10,8.728302e-07,5.441419e-10,8.266145e-07,4.931893e-10,5.823118e-05,1.098696e-10,1.343861e-03
-1.38000e+00,5.533995e-10,1.194517e-06,5.498660e-10,7.425999e-07,4.946233e-10,5.812773e-05,1.094597e-10,1.344408e-03
-1.36000e+00,5.539451e-10,9.558979e-07,5.463581e-10,8.375968e-07,4.959850e-10,5.851376e-05,1.093322e-10,1.346239e-03
-1.34000e+00,5.428500e-10,9.160587e-07,5.481862e-10,7.500458e-07,4.963208e-10,5.911677e-05,1.090301e-10,1.346747e-03
-1.32000e+00,5.439837e-10,6.897704e-07,5.508648e-10,1.296423e-06,4.977910e-10,5.903537e-05,1.090164e-10,1.348091e-03
-1.30000e+00,5.634731e-10,1.214129e-06,5.546639e-10,1.044962e-06,4.985237e-10,5.935540e-05,1.090091e-10,1.348395e-03
-1.28000e+00,5.613219e-10,9.651815e-07,5.611271e-10,6.864059e-07,4.996419e-10,5.982103e-05,1.087730e-10,1.350301e-03
-1.26000e+00,5.541435e-10,9.410390e-07,5.512300e-10,9.640002e-07,5.000890e-10,6.010258e-05,1.086787e-10,1.351618e-03
-1.24000e+00,5.569817e-10,4.519024e-07,5.617483e-10,4.944758e-07,5.011579e-10,6.053063e-05,1.083542e-10,1.352636e-03
-1.22000e+00,5.582692e-10,1.020300e-06,5.623185e-10,1.182283e-06,5.024869e-10,6.034850e-05,1.080729e-10,1.353691e-03
-1.20000e+00,5.681642e-10,1.141839e-06,5.622160e-10,8.124042e-07,5.043391e-10,6.147265e-05,1.083240e-10,1.354911e-03
-1.18000e+00,5.641752e-10,8.117487e-07,5.592037e-10,1.122842e-06,5.048896e-10,6.081755e-05,1.081094e-10,1.356844e-03
-1.16000e+00,5.719061e-10,8.413804e-07,5.688735e-10,1.038313e-06,5.061623e-10,6.113642e-05,1.077118e-10,1.358696e-03
-1.14000e+00,5.824599e-10,6.298474e-07,5.637068e-10,8.624993e-07,5.068255e-10,6.141649e-05,1.079659e-10,1.359728e-03
-1.12000e+00,5.721390e-10,7.499225e-07,5.706721e-10,1.342407e-06,5.081223e-10,6.182213e-05,1.078037e-10,1.360313e-03
-1.10000e+00,5.866890e-10,9.847844e-07,5.800782e-10,3.864251e-07,5.092455e-10,6.191310e-05,1.074868e-10,1.362363e-03
-1.08000e+00,5.723533e-10,7.166690e-07,5.746758e-10,7.124183e-07,5.107453e-10,6.229756e-05,1.072594e-10,1.362683e-03
-1.06000e+00,5.727896e-10,6.255780e-07,5.788498e-10,1.085777e-06,5.115869e-10,6.262422e-05,1.069592e-10,1.364505e-03
-1.04000e+00,5.817679e-10,1.003642e-06,5.798305e-10,9.380749e-07,5.123783e-10,6.295546e-05,1.069589e-10,1.366696e-03
-1.02000e+00,5.801647e-10,8.824956e-07,5.807346e-10,1.273303e-06,5.138374e-10,6.289158e-05,1.072040e-10,1.368269e-03
-1.00000e+00,5.802935e-10,7.691079e-07,5.847854e-10,8.227917e-07,5.145796e-10,6.330609e-05,1.067968e-10,1.369887e-03
-9.80000e-01,5.881213e-10,6.234615e-07,5.864408e-10,8.793208e-07,5.157185e-10,6.357541e-05,1.064451e-10,1.371292e-03
-9.60000e-01,5.863580e-10,9.064364e-07,5.866014e-10,4.802758e-07,5.173095e-10,6.418839e-05,1.065122e-10,1.373176e-03
-9.40000e-01,5.922025e-10,5.229066e-07,5.884879e-10,9.831454e-07,5.180148e-10,6.425883e-05,1.064993e-10,1.373970e-03
-9.20000e-01,5.866857e-10,3.358071e-07,5.929094e-10,7.120404e-07,5.192445e-10,6.464791e-05,1.062370e-10,1.374748e-03
-9.00000e-01,5.933128e-10,1.138544e-06,5.893442e-10,7.423999e-07,5.208584e-10,6.501922e-05,1.059318e-10,1.377948e-03
-8.80000e-01,5.985467e-10,7.473572e-07,6.045781e-10,1.167266e-06,5.225051e-10,6.526690e-05,1.057781e-10,1.376909e-03
-8.60000e-01,5.998085e-10,7.311347e-07,5.950229e-10,8.726299e-07,5.232408e-10,6.569860e-05,1.056963e-10,1.378460e-03
-8.40000e-01,6.068100e-10,1.072648e-06,5.992203e-10,7.695582e-07,5.246455e-10,6.600712e-05,1.055493e-10,1.379761e-03
-8.20000e-01,6.041761e-10,1.102569e-06,6.055006e-10,6.115714e-07,5.254643e-10,6.628350e-05,1.053876e-10,1.382446e-03
