Bias,Capacity_10K,Conductivity_10K,Capacity_1M,Conductivity_1M
-1.35000e-01,9.334379e-10,8.937462e-08,1.051909e-09,7.048280e-04
-1.20000e-01,9.398182e-10,-6.090664e-08,1.057348e-09,7.117357e-04
-1.05000e-01,9.375005e-10,6.171611e-07,1.062876e-09,7.179445e-04
-9.00000e-02,9.517079e-10,-6.990761e-08,1.068954e-09,7.280900e-04
-7.50000e-02,9.518027e-10,-8.122176e-08,1.074915e-09,7.344748e-04
-6.00000e-02,9.540497e-10,1.143866e-07,1.081100e-09,7.439411e-04
-4.50000e-02,9.617994e-10,2.069130e-07,1.087722e-09,7.479913e-04
-3.00000e-02,9.675182e-10,3.101927e-07,1.093339e-09,7.588529e-04
-1.50000e-02,9.684850e-10,2.399727e-07,1.100498e-09,7.672373e-04
0.00000e+00,9.769459e-10,1.098353e-07,1.106897e-09,7.750835e-04
1.50000e-02,9.795617e-10,4.737192e-07,1.113484e-09,7.864096e-04
3.00000e-02,9.767621e-10,2.388873e-07,1.120380e-09,7.940499e-04
4.50000e-02,9.898944e-10,2.673458e-07,1.127207e-09,8.034743e-04
6.00000e-02,9.992026e-10,4.378540e-07,1.133927e-09,8.149277e-04
7.50000e-02,1.003545e-09,2.110016e-07,1.141475e-09,8.247444e-04
9.00000e-02,1.009065e-09,4.546809e-07,1.148933e-09,8.366329e-04
1.05000e-01,1.005454e-09,2.286805e-09,1.156208e-09,8.478155e-04
1.20000e-01,1.026825e-09,-1.831682e-07,1.163568e-09,8.553954e-04
1.35000e-01,1.028130e-09,1.193576e-07,1.171300e-09,8.665710e-04
1.50000e-01,1.033355e-09,2.510297e-07,1.179409e-09,8.787790e-04
1.65000e-01,1.039387e-09,2.529933e-07,1.187359e-09,8.921555e-04
1.80000e-01,1.043583e-09,-2.898434e-08,1.196042e-09,9.029943e-04
1.95000e-01,1.054556e-09,4.152542e-07,1.204027e-09,9.171386e-04
2.10000e-01,1.057311e-09,3.152077e-08,1.212768e-09,9.265201e-04
2.25000e-01,1.062429e-09,3.273634e-07,1.221652e-09,9.429926e-04
2.40000e-01,1.076788e-09,5.584931e-07,1.230393e-09,9.581372e-04
2.55000e-01,1.080259e-09,6.274346e-07,1.239497e-09,9.682496e-04
2.70000e-01,1.084653e-09,5.652244e-07,1.248779e-09,9.836568e-04
2.85000e-01,1.099535e-09,8.126186e-07,1.258474e-09,1.003451e-03
3.00000e-01,1.106119e-09,1.339650e-06,1.267604e-09,1.019811e-03
3.15000e-01,1.118450e-09,1.157124e-06,1.278050e-09,1.033851e-03
3.30000e-01,1.134075e-09,1.614005e-06,1.287610e-09,1.050281e-03
3.45000e-01,1.136605e-09,2.018699e-06,1.297628e-09,1.069393e-03
