Bias,Capacity_1K,Conductivity_1K,Capacity_10K,Conductivity_10K,Capacity_1M,Conductivity_1M
-1.33500e+00,7.353979e-10,-1.153340e-07,7.820540e-10,5.940715e-08,8.105219e-10,4.266507e-04
-1.32000e+00,7.807300e-10,-1.192673e-07,7.785496e-10,1.950286e-09,8.128906e-10,4.317859e-04
-1.30500e+00,7.344759e-10,-7.044301e-08,7.861934e-10,2.611577e-07,8.157977e-10,4.325741e-04
-1.29000e+00,7.619348e-10,6.644360e-08,7.813349e-10,5.771672e-07,8.186257e-10,4.368006e-04
-1.27500e+00,7.437064e-10,-8.693944e-08,7.957343e-10,4.770164e-08,8.210423e-10,4.396233e-04
-1.26000e+00,7.451008e-10,8.749025e-08,7.925655e-10,-9.726806e-08,8.237960e-10,4.412186e-04
-1.24500e+00,7.534660e-10,4.543437e-07,8.020694e-10,7.697505e-08,8.266351e-10,4.436385e-04
-1.23000e+00,7.757123e-10,2.051155e-07,8.043095e-10,6.365242e-08,8.287534e-10,4.489794e-04
-1.21500e+00,7.698785e-10,-4.485677e-08,8.120024e-10,4.233569e-07,8.316908e-10,4.503301e-04
-1.20000e+00,7.966104e-10,8.074624e-08,8.118722e-10,5.486979e-07,8.343212e-10,4.566117e-04
-1.18500e+00,7.650742e-10,5.482051e-08,8.142137e-10,3.764512e-07,8.379032e-10,4.561908e-04
-1.17000e+00,7.923310e-10,3.414229e-08,8.172181e-10,9.723352e-08,8.404059e-10,4.592722e-04
-1.15500e+00,7.634373e-10,6.635550e-08,8.193360e-10,3.011841e-07,8.435271e-10,4.642921e-04
-1.14000e+00,7.225914e-10,-8.614675e-08,8.271169e-10,-1.448956e-07,8.463703e-10,4.650303e-04
-1.12500e+00,7.561201e-10,-1.296038e-07,8.261946e-10,1.276398e-07,8.494897e-10,4.671520e-04
-1.11000e+00,8.271877e-10,-1.252667e-07,8.380059e-10,2.533311e-07,8.525894e-10,4.717840e-04
-1.09500e+00,8.145235e-10,9.902717e-08,8.440654e-10,4.315740e-08,8.556277e-10,4.736987e-04
-1.08000e+00,8.380184e-10,-2.552731e-07,8.432548e-10,3.258402e-07,8.584168e-10,4.761089e-04
-1.06500e+00,7.861772e-10,2.483226e-07,8.411533e-10,1.518679e-07,8.615048e-10,4.807924e-04
-1.05000e+00,8.129414e-10,-7.103436e-08,8.490395e-10,5.298534e-07,8.642744e-10,4.849941e-04
-1.03500e+00,8.258860e-10,8.551848e-08,8.546179e-10,2.763119e-07,8.672223e-10,4.875564e-04
-1.02000e+00,8.454744e-10,-9.919429e-08,8.520908e-10,-9.371384e-08,8.711686e-10,4.879905e-04
-1.00500e+00,7.607169e-10,-1.009079e-07,8.525723e-10,-1.124844e-08,8.736780e-10,4.936894e-04
-9.90000e-01,8.066693e-10,-2.852085e-08,8.664222e-10,-1.194470e-07,8.773879e-10,5.011916e-04
-9.75000e-01,8.032726e-10,-7.975922e-08,8.726597e-10,-1.874094e-07,8.806667e-10,5.016492e-04
-9.60000e-01,8.178399e-10,9.740847e-08,8.706221e-10,5.938751e-07,8.837129e-10,5.054748e-04
-9.45000e-01,7.975633e-10,2.855276e-08,8.767168e-10,-3.785850e-07,8.873020e-10,5.110161e-04
-9.30000e-01,8.227766e-10,2.252467e-07,8.822582e-10,2.385187e-07,8.907164e-10,5.129608e-04
-9.15000e-01,8.319026e-10,-3.292330e-07,8.823055e-10,-8.313386e-09,8.939410e-10,5.146001e-04
-9.00000e-01,8.119408e-10,1.801657e-07,8.886181e-10,1.930297e-07,8.979569e-10,5.208789e-04
-8.85000e-01,8.281488e-10,3.372583e-08,8.950186e-10,2.174915e-07,9.009737e-10,5.225944e-04
-8.70000e-01,8.296644e-10,-1.556493e-07,8.934736e-10,-2.757959e-07,9.046902e-10,5.282357e-04
-8.55000e-01,8.477131e-10,2.029946e-07,8.999922e-10,6.088569e-07,9.081231e-10,5.310951e-04
-8.40000e-01,8.489427e-10,-1.402309e-07,9.075759e-10,1.871500e-07,9.119127e-10,5.338475e-04
-8.25000e-01,8.255744e-10,2.217001e-08,9.053649e-10,6.546267e-08,9.152758e-10,5.394450e-04
-8.10000e-01,8.248571e-10,4.811194e-08,9.174415e-10,6.130491e-07,9.187874e-10,5.445530e-04
-7.95000e-01,8.343882e-10,1.140511e-07,9.115593e-10,4.395852e-07,9.232648e-10,5.485613e-04
-7.80000e-01,8.631873e-10,2.684006e-08,9.278486e-10,-1.462515e-07,9.269099e-10,5.558259e-04
-7.65000e-01,8.256283e-10,-1.754357e-07,9.384697e-10,3.053390e-07,9.308475e-10,5.591889e-04
-7.50000e-01,8.522383e-10,1.694876e-07,9.368589e-10,4.696814e-08,9.342789e-10,5.627816e-04
-7.35000e-01,8.820996e-10,-2.696031e-08,9.425648e-10,-1.850906e-07,9.385556e-10,5.679787e-04
-7.20000e-01,8.315967e-10,-6.835591e-08,9.531875e-10,2.666526e-07,9.425742e-10,5.718638e-04
-7.05000e-01,8.797022e-10,8.433590e-09,9.597784e-10,4.704430e-07,9.464143e-10,5.750889e-04
-6.90000e-01,8.922055e-10,4.288843e-07,9.628616e-10,5.709845e-07,9.506722e-10,5.808236e-04
-6.75000e-01,9.100061e-10,9.829551e-08,9.625950e-10,4.839496e-08,9.551042e-10,5.860408e-04
-6.60000e-01,8.909902e-10,1.714673e-07,9.763714e-10,2.124300e-07,9.591993e-10,5.916354e-04
-6.45000e-01,9.039237e-10,-2.033655e-07,9.812432e-10,4.061725e-07,9.630878e-10,5.949925e-04
-6.30000e-01,9.207171e-10,3.447119e-07,9.888784e-10,2.448165e-07,9.676103e-10,6.011174e-04
-6.15000e-01,9.061861e-10,8.500068e-08,9.821055e-10,3.334592e-07,9.722115e-10,6.073283e-04
-6.00000e-01,9.098365e-10,-7.187427e-08,1.004727e-09,1.930228e-07,9.763531e-10,6.116701e-04
-5.85000e-01,9.188212e-10,1.274032e-07,1.004527e-09,7.750905e-08,9.807766e-10,6.172584e-04
-5.70000e-01,8.893705e-10,6.925981e-08,1.011104e-09,2.557761e-07,9.852429e-10,6.225436e-04
-5.55000e-01,9.234963e-10,4.877787e-08,1.018810e-09,-3.307093e-07,9.899978e-10,6.299962e-04
-5.40000e-01,9.007621e-10,2.128562e-07,1.027653e-09,-6.429399e-08,9.947018e-10,6.339301e-04
-5.25000e-01,9.228666e-10,8.503378e-08,1.036070e-09,1.779839e-07,9.994745e-10,6.421985e-04
-5.10000e-01,9.258146e-10,8.728491e-08,1.039735e-09,5.160797e-07,1.004363e-09,6.450182e-04
-4.95000e-01,9.200334e-10,-8.132475e-09,1.040913e-09,5.235653e-07,1.009302e-09,6.490097e-04
-4.80000e-01,9.207080e-10,9.701107e-08,1.056978e-09,9.510881e-08,1.014139e-09,6.581170e-04
-4.65000e-01,1.003463e-09,-1.771207e-07,1.059043e-09,3.436245e-07,1.019329e-09,6.643099e-04
-4.50000e-01,9.375928e-10,8.590965e-08,1.072741e-09,7.925123e-07,1.024013e-09,6.721949e-04
-4.35000e-01,9.142458e-10,3.302915e-08,1.083663e-09,1.054495e-08,1.029409e-09,6.791694e-04
-4.20000e-01,9.539316e-10,1.169236e-07,1.087955e-09,4.941343e-07,1.034626e-09,6.822642e-04
-4.05000e-01,9.886184e-10,9.232495e-08,1.110582e-09,1.130595e-06,1.039809e-09,6.907852e-04
-3.90000e-01,9.859225e-10,-3.245480e-07,1.115382e-09,7.335731e-07,1.045503e-09,6.996027e-04
-3.75000e-01,9.702793e-10,4.293657e-09,1.117603e-09,9.925416e-07,1.050801e-09,7.053539e-04
-3.60000e-01,9.813380e-10,3.575603e-07,1.134007e-09,8.442930e-07,1.056444e-09,7.152801e-04
-3.45000e-01,9.969630e-10,4.228895e-08,1.139368e-09,1.802766e-06,1.062526e-09,7.215285e-04
-3.30000e-01,9.831678e-10,2.218997e-07,1.162960e-09,1.742011e-06,1.067948e-09,7.303306e-04
-3.15000e-01,1.005597e-09,-1.555619e-08,1.170428e-09,1.779718e-06,1.073943e-09,7.354445e-04
-3.00000e-01,1.001940e-09,1.981942e-07,1.184305e-09,1.655906e-06,1.079760e-09,7.448591e-04
-2.85000e-01,9.922955e-10,1.464312e-07,1.205736e-09,2.220478e-06,1.085910e-09,7.505232e-04
-2.70000e-01,1.038065e-09,-1.030878e-07,1.215758e-09,2.622894e-06,1.091847e-09,7.606498e-04
-2.55000e-01,1.002610e-09,1.732625e-07,1.237174e-09,3.071481e-06,1.097909e-09,7.667900e-04
-2.40000e-01,1.000550e-09,-1.764477e-08,1.256977e-09,3.371162e-06,1.104283e-09,7.770045e-04
-2.25000e-01,1.061022e-09,-1.191684e-07,1.273198e-09,4.411120e-06,1.111286e-09,7.862077e-04
-2.10000e-01,1.008738e-09,2.254696e-07,1.292142e-09,5.219336e-06,1.117690e-09,7.956094e-04
-1.95000e-01,1.072243e-09,-1.047721e-07,1.311640e-09,5.991665e-06,1.124804e-09,8.037104e-04
-1.80000e-01,1.064672e-09,1.627794e-07,1.327251e-09,7.770925e-06,1.130838e-09,8.132620e-04
-1.65000e-01,1.038650e-09,-2.245104e-08,1.355535e-09,8.596528e-06,1.138193e-09,8.223889e-04
-1.50000e-01,1.028722e-09,-8.587347e-10,1.384144e-09,1.020572e-05,1.145386e-09,8.360343e-04
-1.35000e-01,1.064106e-09,1.592991e-07,1.413256e-09,1.268871e-05,1.152294e-09,8.421930e-04
-1.20000e-01,1.060249e-09,6.304519e-08,1.441979e-09,1.464282e-05,1.160160e-09,8.512231e-04
-1.05000e-01,1.080502e-09,-1.943201e-07,1.470245e-09,1.796186e-05,1.167009e-09,8.632665e-04
-9.00000e-02,1.069608e-09,7.963677e-09,1.495221e-09,2.184262e-05,1.175270e-09,8.766241e-04
-7.50000e-02,1.141240e-09,-6.443469e-08,1.531555e-09,2.621394e-05,1.182133e-09,8.849545e-04
-6.00000e-02,1.121222e-09,9.340496e-09,1.573227e-09,3.188977e-05,1.190033e-09,9.005539e-04
-4.50000e-02,1.158379e-09,3.924271e-07,1.607363e-09,3.897667e-05,1.197998e-09,9.140140e-04
-3.00000e-02,1.127028e-09,-9.824358e-08,1.654659e-09,4.632021e-05,1.206547e-09,9.212264e-04
-1.50000e-02,1.166623e-09,1.508088e-07,1.703740e-09,5.666716e-05,1.214844e-09,9.378961e-04
0.00000e+00,1.160038e-09,1.302799e-07,1.748579e-09,6.780955e-05,1.222993e-09,9.503329e-04
1.50000e-02,1.134614e-09,3.188417e-07,1.807866e-09,8.125952e-05,1.231793e-09,9.646993e-04
3.00000e-02,1.153242e-09,5.662825e-08,1.861642e-09,9.684180e-05,1.240713e-09,9.761514e-04
4.50000e-02,1.166594e-09,3.120462e-07,1.928161e-09,1.162094e-04,1.249626e-09,9.915092e-04
6.00000e-02,1.174427e-09,4.018158e-07,1.985955e-09,1.374907e-04,1.258971e-09,1.004239e-03
7.50000e-02,1.213849e-09,3.767380e-07,2.067687e-09,1.630222e-04,1.268352e-09,1.020788e-03
9.00000e-02,1.240776e-09,5.944569e-07,2.152318e-09,1.918474e-04,1.277322e-09,1.035773e-03
1.05000e-01,1.243600e-09,1.638843e-07,2.235092e-09,2.266798e-04,1.287312e-09,1.052623e-03
1.20000e-01,1.269009e-09,6.173204e-07,2.327059e-09,2.639458e-04,1.297185e-09,1.070447e-03
1.35000e-01,1.280999e-09,6.650822e-07,2.407049e-09,3.080259e-04,1.307376e-09,1.086325e-03
1.50000e-01,1.291161e-09,6.984758e-07,2.529962e-09,3.575134e-04,1.316862e-09,1.104823e-03
1.65000e-01,1.345726e-09,7.613668e-07,2.645755e-09,4.177936e-04,1.328046e-09,1.126460e-03
1.80000e-01,1.329476e-09,1.103851e-06,2.771600e-09,4.809977e-04,1.338578e-09,1.145642e-03
1.95000e-01,1.341764e-09,8.271479e-07,2.925650e-09,5.556780e-04,1.349358e-09,1.165665e-03
2.10000e-01,1.358333e-09,1.239872e-06,3.068089e-09,6.362388e-04,1.360206e-09,1.186858e-03
2.25000e-01,1.417820e-09,1.736132e-06,3.248348e-09,7.299536e-04,1.371946e-09,1.212993e-03
2.40000e-01,1.457780e-09,2.019055e-06,3.424186e-09,8.284814e-04,1.383088e-09,1.237890e-03
2.55000e-01,1.423844e-09,2.416851e-06,3.587542e-09,9.458479e-04,1.395351e-09,1.266086e-03
2.70000e-01,1.487352e-09,2.710897e-06,3.765558e-09,1.068156e-03,1.407590e-09,1.293509e-03
2.85000e-01,1.544617e-09,3.348329e-06,4.076235e-09,1.214573e-03,1.420019e-09,1.324964e-03
3.00000e-01,1.533437e-09,4.141111e-06,4.251415e-09,1.359842e-03,1.433345e-09,1.354308e-03
3.15000e-01,1.617119e-09,4.971942e-06,4.476358e-09,1.536338e-03,1.446683e-09,1.391523e-03
3.30000e-01,1.658129e-09,6.173682e-06,4.740532e-09,1.720118e-03,1.460393e-09,1.430980e-03
3.45000e-01,1.680358e-09,7.675382e-06,5.046314e-09,1.929255e-03,1.474309e-09,1.466248e-03
3.60000e-01,1.746473e-09,9.231640e-06,5.284850e-09,2.141895e-03,1.488253e-09,1.509259e-03
3.75000e-01,1.759656e-09,1.154596e-05,5.669514e-09,2.390223e-03,1.502972e-09,1.554057e-03
3.90000e-01,1.848002e-09,1.390197e-05,5.955648e-09,2.647705e-03,1.518174e-09,1.599374e-03
4.05000e-01,1.919775e-09,1.664069e-05,6.371602e-09,2.942091e-03,1.533874e-09,1.649612e-03
4.20000e-01,2.003053e-09,2.034098e-05,6.751483e-09,3.251679e-03,1.549883e-09,1.706476e-03
4.35000e-01,2.039472e-09,2.441424e-05,7.087075e-09,3.600554e-03,1.566686e-09,1.765558e-03
4.50000e-01,2.093828e-09,2.935968e-05,7.449596e-09,3.959274e-03,1.583567e-09,1.825554e-03
4.65000e-01,2.257421e-09,3.492263e-05,8.017301e-09,4.351962e-03,1.600374e-09,1.891979e-03
4.80000e-01,2.329095e-09,4.188691e-05,8.149929e-09,4.769539e-03,1.618816e-09,1.960038e-03
4.95000e-01,2.383937e-09,4.981119e-05,8.741796e-09,5.248047e-03,1.636240e-09,2.038398e-03
5.10000e-01,2.550842e-09,5.882713e-05,9.236137e-09,5.711544e-03,1.654883e-09,2.117642e-03
5.25000e-01,2.701109e-09,6.964613e-05,9.770695e-09,6.264597e-03,1.674434e-09,2.205364e-03
5.40000e-01,2.874665e-09,8.173574e-05,1.027330e-08,6.772874e-03,1.692605e-09,2.298271e-03
5.55000e-01,2.930993e-09,9.627146e-05,1.079589e-08,7.403571e-03,1.713065e-09,2.396127e-03
5.70000e-01,3.208228e-09,1.122568e-04,1.077007e-08,7.984970e-03,1.732394e-09,2.502438e-03
5.85000e-01,3.364269e-09,1.305149e-04,1.131413e-08,8.665351e-03,1.752610e-09,2.614685e-03
